colour	size	key	group	showSelected.variable	showSelected.value	showSelected3
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	0	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	0	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	0	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	0	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	0	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	0	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	0	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	0	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	0	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	1	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	2	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	3	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	4	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	5	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	6	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	7	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	8	linear model poly. deg.
#0000FF	3	linear model poly. deg.	1	linear model poly. deg.	9	linear model poly. deg.
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	7	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	8	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	9	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	10	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	7	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	8	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	9	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	10	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	7	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	8	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	9	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	10	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	7	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	8	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	9	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	10	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	7	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	8	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	9	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	10	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	7	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	8	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	9	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	10	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	7	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	8	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	9	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	10	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	7	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	8	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	9	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	10	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	7	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	8	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	9	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	10	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	1	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	2	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	3	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	4	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	5	num. nearest neighbors
#00FF00	2	num. nearest neighbors	2	num. nearest neighbors	6	num. nearest neighbors
